Date,Price,Returns,Market_Cap,Energy_TWh_Annual,fear_greed_index,electricity_price,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,in_analysis_period,construction
2021-05-22,35208.5,-0.1211321677832915,661087666906.754,91.0502780670976,12.0,0.04950499999999999,12349161.686881276,9288217103.007944,71.17487237595512,4.265139840060352,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-23,38072.35,0.0813397333030376,714900535914.3297,88.9789684793822,14.0,0.04950499999999999,12068229.683758399,9300285332.691702,76.86866696458894,4.342098341784749,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-24,32576.91,-0.144342022491388,611744705991.605,88.9183962233433,10.0,0.04950499999999999,12060014.260374272,9312345346.952076,65.691797629888,4.184974071880665,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-25,39024.88,0.1979306815778414,732868893141.0931,90.9184663386943,22.0,0.04950499999999999,12331284.044101538,9324676630.996178,78.59456388063496,4.364302535219389,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-26,37626.53,-0.0358322690550233,706648185338.5267,89.9686684273098,22.0,0.04950499999999999,12202462.823271153,9336879093.819448,75.68355316995513,4.326560873561636,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-27,38755.25,0.0299979828062806,727887022978.7572,90.5119567437422,27.0,0.04950499999999999,12276149.092051936,9349155242.9115,77.85591361643489,4.3548598570705295,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-28,38486.87,-0.0069249972584358,722886922969.6626,91.4898779823564,21.0,0.04950499999999999,12408784.683606995,9361564027.595108,77.21860586957551,4.346640436666064,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-29,35208.55,-0.0851802186044227,661348303755.3668,91.4898779823564,18.0,0.04950499999999999,12408784.683606995,9373972812.278715,70.5515491669748,4.256343636484031,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-30,34255.91,-0.0270570642642199,643490187624.7767,91.7256168318439,10.0,0.04950499999999999,12440757.976055976,9386413570.25477,68.55549063637848,4.227643499611518,0,1,canonical_v2_cambridge_prices_freeze_last
2021-05-31,36144.79,0.0551402663073319,679010403884.1869,90.8762595108384,18.0,0.04950499999999999,12325559.526257683,9398739129.781029,72.24483992035285,4.2800609046545235,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-01,36700.0,0.0153607200373828,689479053885.7124,90.3731696577357,20.0,0.0515815,12771462.056713684,9411510591.837742,73.25912744375725,4.294002846875115,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-02,36318.98,-0.0103820163487737,682359013908.1525,92.1525676721689,23.0,0.0515815,13022925.121594466,9424533516.959337,72.40241786824308,4.282239694804246,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-03,37739.05,0.0390999416833843,709078826965.4048,92.7543067884721,24.0,0.0515815,13107962.39893034,9437641479.358267,75.13305400679621,4.319260595186151,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-04,38701.82,0.0255112410089812,727208914580.0927,91.6895108352682,27.0,0.0515815,12957486.309998319,9450598965.668264,76.94844710074635,4.343135679454178,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-05,37052.46,-0.0426171172311793,696256224789.6785,90.9506880464651,24.0,0.0515815,12853076.480736272,9463452042.149,73.57317622455766,4.29828050583484,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-06,35827.47,-0.0330609627538899,673274878943.0123,91.3711004723668,17.0,0.0515815,12912488.819220243,9476364530.96822,71.04780285127154,4.263352930085665,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-07,35892.06,0.0018028066173803,674526268469.4523,90.5762093376607,15.0,0.0515815,12800155.457398755,9489164686.42562,71.08384043901899,4.26386003163864,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-08,34441.65,-0.0404103303070371,647304507519.7168,91.2102429372064,13.0,0.0515815,12889756.564563047,9502054442.990183,68.12258458456252,4.221308796715393,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-09,33624.61,-0.0237224407076896,631984060740.5977,87.5871945637,14.0,0.0515815,12377750.3462671,9514432193.33645,66.42372848935909,4.196054349413123,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-10,36396.96,0.0824500269296804,684129243421.7712,84.9604850253076,21.0,0.0515815,12006545.913240835,9526438739.249691,71.81374510950288,4.274075893798133,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-11,36476.84,0.0021946887871953,685668839518.4524,82.6055033314781,21.0,0.0515815,11673741.83587024,9538112481.085562,71.88726709589132,4.275099157193084,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-12,37132.84,0.017984013966122,698038730400.3479,82.696078817964,28.0,0.0515815,11686541.889174823,9549799022.974737,73.0945990298873,4.291754479346062,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-13,36002.13,-0.0304504045475648,676820781839.6569,80.9217669519036,23.0,0.0515815,11435797.594601689,9561234820.56934,70.78800955537608,4.259689629794748,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-14,37506.39,0.0417825278671013,705139231166.1718,80.4551896178813,28.0,0.0515815,11369861.269245874,9572604681.838585,73.66221155084172,4.2994899343354485,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-15,39847.49,0.0624186971873326,749194694413.2405,78.1962805464783,38.0,0.0515815,11050634.095912796,9583655315.934498,78.17421116633584,4.358939812680085,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-16,39959.84,0.0028195000488111,751348737466.327,77.3343975011542,33.0,0.0515815,10928833.492344618,9594584149.426842,78.3096719737677,4.360671119937417,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-17,38520.99,-0.0360074014310367,724334790269.2537,77.7975724975901,26.0,0.0515815,10994289.002149163,9605578438.428991,75.40772218062484,4.322909685958389,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-18,37743.41,-0.0201858778811239,709752795543.9023,78.9235680795335,25.0,0.0515815,11153413.77231358,9616731852.201305,73.80394987112356,4.301412251463151,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-19,35495.38,-0.0595608610880682,667516286163.0068,75.8026639424299,23.0,0.0515815,10712370.164784791,9627444222.36609,69.33473419791515,4.238945995606717,0,1,canonical_v2_cambridge_prices_freeze_last
2021-06-20,36104.3,0.0171549086106419,679005061839.7618,72.9972573179219,21.0,0.0515815,10315912.406422982,9637760134.772514,70.45257947331025,4.254939851915855,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-21,34932.68,-0.0324509822929679,657007038143.2864,70.4239115513062,23.0,0.0515815,9952249.297763564,9647712384.070278,68.09977453599227,4.220973902371605,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-22,32568.17,-0.0676876208753523,612569675334.1481,66.9927831699327,10.0,0.0515815,9467365.05501338,9657179749.125292,63.431528794898135,4.1499610374347835,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-23,32889.85,0.0098771284969343,618654303637.3331,65.1056626294326,14.0,0.0515815,9200678.731287884,9666380427.856579,64.0006161825056,4.158892711164975,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-24,33057.18,0.0050875878120453,621836118317.4297,62.9612077373504,22.0,0.0515815,8897626.128504494,9675278053.985083,64.27061990857266,4.16310260471668,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-25,34861.5,0.0545817882832111,655813260309.5483,61.7603134617946,27.0,0.0515815,8727916.736519339,9684005970.721601,67.72127798065377,4.215400428626352,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-26,32190.44,-0.0766191930926667,605598801515.557,60.5594191862389,20.0,0.0515815,8558207.344534198,9692564178.066135,62.480762612436614,4.134858711161753,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-27,31296.3,-0.0277765696896346,588809824406.1553,56.5278427148277,22.0,0.0515815,7988468.271218863,9700552646.337355,60.69858552115303,4.105920395012275,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-28,32712.65,0.0452561484903966,615491023275.0498,55.0696127025848,25.0,0.0515815,7782392.404433912,9708335038.741789,63.398205852897526,4.149435562192563,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-29,34650.05,0.0592247953009004,651979279839.658,54.9838345276781,25.0,0.0515815,7770270.303258707,9716105309.045048,67.10294496630338,4.206227932229188,1,1,canonical_v2_cambridge_prices_freeze_last
2021-06-30,36148.75,0.0432524628391588,680216452246.515,53.8687180807528,28.0,0.0515815,7612682.96351329,9723717992.00856,69.95435828204305,4.24784300484667,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-01,34576.96,-0.0434811715481171,650675660897.5272,53.0753763862656,28.0,0.05835850000000001,8486025.624213373,9732204017.632774,66.85799637149357,4.202570913021134,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-02,33408.91,-0.0337811652614918,628729669406.9021,51.3398083456587,21.0,0.05835850000000001,8208532.069424997,9740412549.7022,64.548566726378,4.16741791296214,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-03,33132.0,-0.0082885074670201,623552726406.3954,52.1087662608808,24.0,0.05835850000000001,8331477.906398939,9748744027.608599,63.962365268847364,4.1582948677205085,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-04,34718.97,0.047898406374502,653455821119.946,54.2232970648266,27.0,0.05835850000000001,8669562.415774476,9757413590.024374,66.97018785675085,4.2042475630061364,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-05,35515.63,0.022945957210136,668486709879.2062,54.8125197445701,29.0,0.05835850000000001,8763771.050721904,9766177361.075096,68.44916748528277,4.226091389283327,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-06,33851.0,-0.0468703497586836,637189485765.5299,55.8466784910341,20.0,0.05835850000000001,8929118.867723325,9775106479.94282,65.18491507718667,4.177228078317033,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-07,33966.89,0.0034235325396589,639406009595.3971,55.8810571838525,28.0,0.05835850000000001,8934615.54976399,9784041095.492584,65.35193417063277,4.179787036734506,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-08,34532.38,0.0166482713018472,650086666382.8446,56.236936254997,20.0,0.05835850000000001,8991515.738184225,9793032611.230768,66.3825693419337,4.195434512109993,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-09,32819.0,-0.0496166206904938,617865429894.4647,56.6129564496868,20.0,0.05835850000000001,9051636.216353554,9802084247.447123,63.0340868632488,4.143675641392043,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-10,33521.78,0.0214138151680429,631130861869.6691,58.1352720324325,20.0,0.05835850000000001,9295033.624396473,9811379281.07152,64.32641566382723,4.163970365913622,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-11,33324.24,-0.0058928851630194,627446035975.8685,58.7517654855521,20.0,0.05835850000000001,9393602.482434502,9820772883.553955,63.88967990763752,4.157157844547507,1,1,canonical_v2_cambridge_prices_freeze_last
2021-07-12,33973.59,0.0194858157305313,639707342441.4779,58.38187024259,25.0,0.05835850000000001,9334461.300142983,9830107344.854097,65.07633335014947,4.175560940108287,1,1,canonical_v2_cambridge_prices_freeze_last
