Date,Price,Returns,Returns_forward,Market_Cap,Energy_TWh_Annual,electricity_price,daily_cost_usd,cumulative_cost,CEIR,CEIR_stable,log_CEIR,fear_greed_index,post_china_ban,in_analysis_period
2023-01-27,23080.0,-0.0216608028485438,-0.00628249566724437,446351449998.6706,99.7592207121415,0.076234375,20835840.661581263,27043968464.153,16.504657982807263,16.504657982807263,2.803642643055145,55.0,1,1
2023-01-28,23090.0,0.0004332755632583,0.0062906019922044365,446563039673.27466,102.811630425508,0.076234375,21473370.926629003,27065441835.079624,16.49938110725695,16.49938110725695,2.8033228715519742,52.0,1,1
2023-01-29,23007.0,-0.003594629709831,0.016386317207806256,444975933388.5568,104.289366875222,0.076234375,21782012.88459795,27087223847.964226,16.427520807821715,16.427520807821715,2.798958026434752,55.0,1,1
2023-01-30,23596.0,0.0256009040726734,-0.019028648923546387,456386297190.79095,103.012522655637,0.076234375,21515329.539248835,27108739177.50347,16.835393715747905,16.835393715747905,2.8234834390783847,61.0,1,1
2023-01-31,22747.5,-0.0359594846584166,0.0355863281679305,439992782215.1247,102.200012774257,0.076234375,21345627.66804794,27130084805.17152,16.217891885514987,16.217891885514987,2.7861150701735324,51.0,1,1
2023-02-01,22950.0,0.0089020771513352,0.02066448801742915,443927683771.1893,98.8683724414999,0.076234375,20649776.932451967,27150734582.103973,16.35048519327348,16.35048519327348,2.7942575723325263,56.0,1,1
2023-02-02,23683.0,0.0319389978213506,-0.060760883334037064,458124908677.1325,98.3265110028155,0.076234375,20536603.0472062,27171271185.15118,16.860635836850097,16.860635836850097,2.8249816646057866,60.0,1,1
2023-02-03,23452.0,-0.0097538318625174,-0.05267141395190178,453674864565.0944,96.7138860297229,0.076234375,20199788.09670453,27191470973.247887,16.684454659015646,16.684454659015646,2.814477427163083,60.0,1,1
2023-02-04,23383.0,-0.002942179771448,-0.04051019971774361,452358437833.1492,93.9463381005379,0.076234375,19621754.434611488,27211092727.6825,16.624045287712907,16.624045287712907,2.810850158589981,58.0,1,1
2023-02-05,23412.25,0.0012509087798828,-0.04272336063385618,452942677500.0933,92.8432017454106,0.076234375,19391351.9398912,27230484079.62239,16.633662338711325,16.633662338711325,2.811428493776188,58.0,1,1
2023-02-06,22856.0,-0.0237589296201774,-0.03508925446272315,442199179612.0388,93.4497220016867,0.076234375,19518030.5499242,27250002110.17232,16.22749157318295,16.22749157318295,2.7867068146329745,56.0,1,1
2023-02-07,22915.0,0.0025813790689535,-0.039604189395592404,443358636391.9935,95.7502645798601,0.076234375,19998524.86665828,27270000635.03897,16.258108766683566,16.258108766683566,2.7885917853428173,54.0,1,1
2023-02-08,23222.02,0.0133982107789658,-0.1291885891063741,449317054090.1654,95.7830603673162,0.076234375,20005374.637505807,27290006009.67648,16.464527487859357,16.464527487859357,2.8012082174426096,58.0,1,1
2023-02-09,22957.0,-0.0114124438786978,-0.12449361850415996,444207237356.8818,97.2095057877111,0.076234375,20303303.88434257,27310309313.560818,16.26518514516833,16.26518514516833,2.789026942901926,55.0,1,1
2023-02-10,21858.0,-0.0478721087250075,-0.060893036874370976,422959219828.0425,98.3654273790329,0.076234375,20544731.172187563,27330854044.73301,15.475521516297144,15.475521516297144,2.739259518571283,48.0,1,1
2023-02-11,21531.67,-0.0149295452465917,-0.023438497803468072,416661487061.3987,99.451463166225,0.076234375,20771562.02003475,27351625606.75304,15.23351822125432,15.23351822125432,2.7234981462210426,49.0,1,1
2023-02-12,21826.0,0.0136696317563849,0.11032713277742134,422374174507.44977,100.287636880351,0.076234375,20946206.350138377,27372571813.10318,15.430562293940548,15.430562293940548,2.736350107314496,50.0,1,1
2023-02-13,21988.75,0.0074567030147529,0.12061849809561709,425540890822.0207,100.911521666544,0.076234375,21076511.73848751,27393648324.841667,15.53429049595132,15.53429049595132,2.743049870476091,48.0,1,1
2023-02-14,21631.25,-0.0162583139105224,0.12685351054608485,418639223340.21344,101.921936038549,0.076234375,21287548.199147284,27414935873.040813,15.270479758878194,15.270479758878194,2.7259215371311125,50.0,1,1
2023-02-15,22255.0,0.0288355966483675,0.11219950572904969,430728324379.819,104.237495446395,0.076234375,21771178.95046923,27436707051.991283,15.69898033184554,15.69898033184554,2.753595763228906,53.0,1,1
2023-02-16,24176.0,0.0863176814199055,0.10961283917935138,467926675952.1759,105.779825253474,0.076234375,22093311.96111728,27458800363.9524,17.04104584869136,17.04104584869136,2.835624895614645,62.0,1,1
2023-02-17,24539.0,0.0150148908007941,0.11679367537389451,474971699590.34045,107.424487717711,0.076234375,22436818.30371198,27481237182.25611,17.283490420766675,17.283490420766675,2.8497517349208,61.0,1,1
2023-02-18,24482.0,-0.0023228330412812,0.14288048362061923,473887521764.21625,109.259144403597,0.076234375,22820007.08669305,27504057189.342804,17.229731544764125,17.229731544764125,2.846636469731524,60.0,1,1
2023-02-19,24621.25,0.0056878522996486,0.14141239782708026,476602125659.7388,109.233594998575,0.076234375,22814670.80471093,27526871860.147514,17.314067798228372,17.314067798228372,2.851519338589795,60.0,1,1
2023-02-20,24356.0,-0.010773214195055,0.15589587781244862,471486574661.73193,108.376486339066,0.076234375,22635653.974670507,27549507514.122185,17.11415619390084,17.11415619390084,2.839905968628332,58.0,1,1
2023-02-21,24774.25,0.0171723599934308,0.1059870631805202,479602414507.8904,109.614529679893,0.076234375,22894233.317987923,27572401747.44017,17.394292267354505,17.394292267354505,2.856142121794864,60.0,1,1
2023-02-22,24202.0,-0.0230985801790165,0.17068837286174698,468543127524.033,107.488114301618,0.076234375,22450107.43482852,27594851854.875004,16.979367383023604,16.979367383023604,2.831998923594552,59.0,1,1
2023-02-23,23804.0,-0.0164449219072804,0.16068853974121988,460856501475.064,106.804375976863,0.076234375,22307300.95852374,27617159155.833527,16.687324676467238,16.687324676467238,2.81464942982616,56.0,1,1
2023-02-24,23879.0,0.0031507309695848,0.1466455881737092,462327114979.7501,104.133174401468,0.076234375,21749390.32126551,27638908546.1548,16.72740130847426,16.72740130847426,2.817048171700728,53.0,1,1
2023-02-25,23097.03,-0.0327471837179111,0.2062481626425563,447205165734.4364,99.3823934511893,0.076234375,20757136.029467147,27659665682.18426,16.168133442859492,16.168133442859492,2.783042233584052,52.0,1,1
2023-02-26,22935.0,-0.0070151876669857,0.17916939175931978,444085764829.1293,101.630702861769,0.076234375,21226720.85884293,27680892403.043102,16.043043640468348,16.043043640468348,2.7752753375839228,51.0,1,1
2023-02-27,23235.25,0.0130913451057335,0.17536932032149433,449917496903.218,102.361485508764,0.076234375,21379353.073512822,27702271756.11662,16.241176928165718,16.241176928165718,2.7875498030538046,50.0,1,1
2023-02-28,23384.0,0.0064019108897042,0.21416353061922688,452815987642.6626,100.871937464448,0.076234375,21068244.130524047,27723340000.247143,16.33338506971476,16.33338506971476,2.793211176971057,53.0,1,1
2023-03-01,23147.0,-0.010135135135135,0.21633473020261795,448244602859.0878,104.964687182021,0.076234375,21923061.16271748,27745263061.40986,16.155716450298833,16.155716450298833,2.782273946810509,50.0,1,1
2023-03-02,23557.0,0.0177128785587765,0.2052680731841916,456202581077.204,103.416147192862,0.076234375,21599631.085358463,27766862692.495216,16.429748874744345,16.429748874744345,2.799093647376332,51.0,1,1
2023-03-03,23424.25,-0.0056352676486819,0.21528971044964096,453649921819.7815,107.65745573878,0.076234375,22485476.307770018,27789348168.802982,16.324597434388913,16.324597434388913,2.792673015402942,50.0,1,1
2023-03-04,22244.0,-0.0503858181158415,0.26649883114547745,430809640346.571,112.046570539383,0.076234375,23402192.53688568,27812750361.33987,15.489645387440817,15.489645387440817,2.7401717611674266,50.0,1,1
2023-03-05,22216.75,-0.0012250494515374,0.24194582916043084,430299088916.1716,110.316637047561,0.076234375,23040876.376500435,27835791237.71637,15.458482399204582,15.458482399204582,2.7381578752882243,47.0,1,1
2023-03-06,22435.75,0.009857427391495,0.2596191346400276,434558104039.7021,108.943214307037,0.076234375,22754021.515583623,27858545259.23196,15.598736401919451,15.598736401919451,2.747189911097866,48.0,1,1
2023-03-07,22412.0,-0.0010585783849437,0.25620203462430835,434115436695.3027,111.224634591118,0.076234375,23230521.925088387,27881775781.15704,15.56986327207627,15.56986327207627,2.7453372043093576,49.0,1,1
2023-03-08,22054.0,-0.015973585579154,0.26947492518364013,427198117902.0197,107.193100455404,0.076234375,22388490.45898613,27904164271.616024,15.309475451180722,15.309475451180722,2.7284719472394494,50.0,1,1
2023-03-09,22007.47,-0.0021098213476012,0.26725152868548707,426313823403.6863,106.03880806122,0.076234375,22147403.44737553,27926311675.0634,15.26566874867189,15.26566874867189,2.725606434508074,44.0,1,1
